STEP;QUERY;TIME (ms);;
schema.cypher;indices;7;;
schema.cypher;indices;2;;
schema.cypher;indices;1;;
schema.cypher;indices;1;;
schema.cypher;indices;1;;
schema.cypher;indices;1;;
schema.cypher;TOTAL;13;;
;;;;
delete.cypher;delete nodes;1020;;
delete.cypher;TOTAL;1020;;
;;;;
graphSetting.cypher;dataset loading;837;;
graphSetting.cypher;concepts name;9;;
graphSetting.cypher;concepts name;10;;
graphSetting.cypher;concepts name;8;;
graphSetting.cypher;concepts name;8;;
graphSetting.cypher;concepts name;8;;
graphSetting.cypher;concepts name;9;;
graphSetting.cypher;persons;14;;10494
graphSetting.cypher;dates;7;;
graphSetting.cypher;persons;24;;
graphSetting.cypher;TOTAL;934;;
;;;;
constraints.cypher;Partial Temporal Consistency;472;;
constraints.cypher;Partial Temporal Inconsistency;537;;
constraints.cypher;Total Temporal Inconsistency;432;;
constraints.cypher;C1;50;;
constraints.cypher;C1-1;38;;
constraints.cypher;C2;42;;
constraints.cypher;C2-1;5;;
constraints.cypher;C3;39;;
constraints.cypher;C4;835;;
constraints.cypher;C4;800;;
constraints.cypher;C5;821;;
constraints.cypher;C6;1293;;
constraints.cypher;C7;728;;
constraints.cypher;C8;1971;;
constraints.cypher;C14;138;;
constraints.cypher;C16;7;;
constraints.cypher;C17;7;;
constraints.cypher;C18;39;;
constraints.cypher;C19;10;;
constraints.cypher;C6;957;;
constraints.cypher;TOTAL;9221;;
;;;;
stats.cypher;Nb triplets;16;;
stats.cypher;"Nb ""o""";7;;
stats.cypher;"Nb ""s""";7;;
stats.cypher;"nb ""p""";7;;
stats.cypher;"Nb ""p"" links distribution";10;;
stats.cypher;Nb conflicts distribution;61;;
stats.cypher;Nb temporal conflicts;51;;
stats.cypher;"Distribution of linked ""o""";10;;
results.cypher;mapping_Neo4j_wikidata;10;;
results.cypher;inferredNodes;22;;
results.cypher;tCon_noConflicts;14;;
results.cypher;tCon_conflicts;63;;
results.cypher;pCon_noConflicts;165;;
results.cypher;pCon_conflicts;149;;
results.cypher;pInc_noConflicts;173;;
results.cypher;pInc_conflicts;142;;
results.cypher;tInc_noConflicts;173;;
results.cypher;tInc_conflicts;142;;
